date,user_id,pp_text,tag,like_point
2019-05-19T00:09:03.000Z,nalzomboso3579,landscape seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#landscapeseaweed #25,33
2019-06-12T12:49:49.000Z,nalzomboso3579,seaweed crisps vegetable chips Vegan crisps USDA kimbugak Bugak25,#25,26
2018-09-12T05:34:12.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,20
2018-08-29T11:31:51.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,10
2020-05-10T13:54:01.000Z,seoulclairec_korean,bugak Bugak is one of our traditional snacksIt is made by deep frying dried vegetables such as spicy pepper and seaweedIt is similar to vegetable chips that are popular abroadkoreakoreankoreanlanguagekoreanwordskoreanphraselearnkoreankoreanstudystudykoreankoreanteacherkoreanlessonkoreanfoodkfoodseoulclairecbugak,#korean #koreanlanguage #koreanwords #koreanphrase #learnkorean #koreanstudy #studykorean #koreanteacher #koreanlesson #koreanfood #kfood #seoulclairec #bugak,36
2018-06-26T21:18:21.000Z,teessidecreativ,I m addicted to Korean Seaweed Crispsasianfoodasianfoodieskoreanseaweedcrispsseaweedskoreakoreanfoodasiahealthyfoodhealthylifestylehealthyeatinghealthbenefitsnutritionfoodpornbugakheesookgrapetree,#asianfood #asian #foodies #korean #seaweed #crisps #seaweeds #korea #koreanfood #asia #healthyfood #healthylifestyle #healthyeating #healthbenefits #nutrition #foodporn #bugak #heesook #grapetree,21
2018-08-26T13:06:32.000Z,nalzomboso3579,seaweed vegetable chips Korean crisps kimbugak seaweed snack Bugak 20 25www ohs co kr,#seaweed,18
2018-09-22T08:11:48.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,25
2018-07-26T09:34:59.000Z,elaia_hk,DGreenCommonCheck outpremium natural and well being snacks at Green Common They are healthy and tastyAlso suitable for vegetarians3schoolnutsredmonsterharukidssweedsensationgreenteaseaweedcurryseaweedbuddychipbluberrycoconutseasamebugakseaweedbugaklotusrootsburdockpumpkinveganslowfooddaldampersimmonjejumandarinsweetpotatojujubehealthysnacknaturalfoodwellbeingGreenCommon,#schoolnuts #redmonster #harukids #sweedsensation #greenteaseaweed #curryseaweed #buddychip #bluberry #coconut #seasame #bugak #seaweedbugak #lotusroots #burdock #pumpkin #vegan #slowfood #daldam #persimmon #jejumandarin #sweetpotato #jujube #healthysnack #naturalfood #wellbeing #GreenCommon,13
2018-07-26T09:34:59.000Z,f__k.whaling,Nice,,0
2018-05-06T13:21:14.000Z,jahleelqueen,Stay woke Vacay bugak,,17
2018-09-12T09:22:01.000Z,nalzomboso3579,seaweed vegetable chips Vegan crisps kimbugak Bugak25 www ohs co kr,#seaweed #25,32
2020-08-05T10:04:01.000Z,el_fuady,Makam Habib Abdurrahman bin Alwi Alhabsyi atau dikenal Habib Bugak terletak di Desa Pante PeusanganBugakKecamatan JangkaKabupaten Bireuen Habib Bugak adalah waqifpewaqafBaitul Asyi bernilai sekitar Rp 25 triliun rupiah di Tanah Suci Mekkahhalaqah habaib ulamaya tarimm muhibbin habaib muhibbin ulama dan habaibkata habibsantri atjeehsantri mudisantri nanggroe atjehawakdayah,,169
2020-08-05T10:04:01.000Z,syarifahalhabshy,Pjn ktroeh keunan tgk hn pgah2 mdeh ken singgah bk rumoh lon,,0
2016-08-31T15:07:07.000Z,seoul_insiders_guide,This isSlow Mailboxat palgakjeongIt s like a time capsule If you put a letter into the slow mailboxit will be delivered a year laterbugakpalgakjeong slowmailbox timecapsuleseoulSIG,#palgakjeong #slowmailbox #timecapsule #seoul #SIG,12
2016-08-31T15:07:07.000Z,colletteardith,Where is this I need to stop by when I go in January,,0
2016-08-31T15:07:07.000Z,seoul_insiders_guide,thecolletteproject It s located in Bugak Palgakjeong in SeoulI posted more info about this place in my blog Dhttp seoulinsidersguide com palgakjeong,,0
2016-08-31T15:07:07.000Z,colletteardith,I will take a look,,0
2015-07-06T14:42:25.000Z,den_chang_den,bugak,#bugak,7
2018-12-15T09:23:34.000Z,nalzomboso3579,Vegan crispsVegetable Seaweed chips kimbugak Bugak25 www ohs co kr,#Vegan #Vegetable #25,40
