,date,user_id,text,like,tag,pp_text,like_point
350,2017-07-05T19:55:43.000Z,jessicaoutofthecloset인증됨,"Currently editing our Lake District videos ready for the first one to go our tomorrow but make sure you don't miss the videos released on my channel whilst we were away! Including a run down of some amazing #glutenfree, #sugarfree and #lowfodmap snacks that can be found in a Chinese shop! ... and Claudia's #WhiteRabbit sweets because she loves them 😅 Click the link in the bio or go here to watch: https://youtu.be/ZbYtWpBQADI#seaweedchips #glutenfreefood #glutenfreelife #foodie #seaweed #foodpicoftheday #bananachips #nomnomnom #cleaneating #healthysnacks #healthblogger #freefrom #healthysnack #yummy #chinesefood #brighton #glutenfreelasagna #heathyeats #foodlove #chinesesnacks #eattherainbow",162주,"#glutenfree, #sugarfree #lowfodmap #WhiteRabbit #glutenfreefood #glutenfreelife #foodie #seaweed #foodpicoftheday #bananachips #nomnomnom #cleaneating #healthysnacks #healthblogger #freefrom #healthysnack #yummy #chinesefood #brighton #glutenfreelasagna #heathyeats #foodlove #chinesesnacks #eattherainbow",Currently editing our Lake District videos ready for the first one to go our tomorrow but make sure you don t miss the videos released on my channel whilst we were awayIncluding a run down of some amazingglutenfree sugarfree andlowfodmap snacks that can be found in a Chinese shopand Claudia sWhiteRabbit sweets because she loves them Click the link in the bio or go here to watchhttps youtu be ZbYtWpBQADI seaweedchipsglutenfreefoodglutenfreelifefoodieseaweedfoodpicofthedaybananachipsnomnomnomcleaneatinghealthysnackshealthbloggerfreefromhealthysnackyummychinesefoodbrightonglutenfreelasagnaheathyeatsfoodlovechinesesnackseattherainbow,0
351,2017-07-05T19:55:43.000Z,jodes1032,White Rabbit sweets are amazing!,162주답글 달기,,White Rabbit sweets are amazing,0
352,2016-05-15T13:59:02.000Z,kimanica,Gujeolpan @ Jungsik Seoul #정식 #정식당 #구절판 #연어알 #마늘쫑 #오이 #깻잎 #깍두기 #백김치#jungsik #gujeolpan #salmonroe #ikura #seasameleaves #kimchi #seaweedchips,221주,#정식 #정식당 #구절판 #연어알 #마늘쫑 #오이 #깻잎 #깍두기 #백김치#jungsik #gujeolpan #salmonroe #ikura #seasameleaves #kimchi #seaweedchips,Gujeolpan Jungsik Seoul jungsikgujeolpansalmonroeikuraseasameleaveskimchiseaweedchips,0
353,2016-05-15T13:59:02.000Z,narcolepticjy,You went! 😀,221주답글 달기,,You went,0
354,2016-05-15T13:59:02.000Z,kimanica,@narcolepticjy I did! 😊 sea urchin bibimbap was my fav dish but didnt photograph well. Mingles again tomorrow! 😆,221주답글 달기,,narcolepticjy I didsea urchin bibimbap was my fav dish but didnt photograph wellMingles again tomorrow,0
355,2016-05-15T13:59:02.000Z,eyedear92,굿데이 : D 반갑습니다~!,221주답글 달기,,D,0
356,2016-05-15T13:59:02.000Z,kimanica,@eyedear92 안녕하세요? 반갑습니다. ☺,221주답글 달기,,eyedear92,0
357,2016-05-15T13:59:02.000Z,soul365,인스타 둘러보고 갑니다 ^^👍,221주답글 달기,,,0
358,2016-05-15T13:59:02.000Z,kimanica,@soul365 감사합니다! 좋은 하루 되세요~☺,221주답글 달기,,soul365,0
359,2016-05-15T13:59:02.000Z,luv_100,다엿중인뎅 배고푸구나,221주답글 달기,,,0
360,2016-05-15T13:59:02.000Z,kimanica,@chenny_luv ㅋㅋ 언니 저도 다이어트 해야함요 ㅠㅠ 먹고만 있어요 ㅠㅠ,221주답글 달기,,chenny luv,0
361,2015-05-24T06:16:39.000Z,tiff_harrison_,Looking back at mommy! #seaweedchips 🌿🌊☀️ #themissionofsantabarbara,272주,#seaweedchips #themissionofsantabarbara,Looking back at mommy seaweedchips themissionofsantabarbara,0
362,2020-07-27T07:12:41.000Z,eqovivo,"When it comes to chips, once you pop -- you can’t stop🚫. Which will you go for?⁣⁣✨Follow @eqovivo for healthy food tips & inspo💫⁣⁣Always take a quick glance 👀 at the nutrition label for snacks. ⁣⁣The traditional potato chip does have some nutrients, such as Vitamin C🔸 but their downside is they’re “calorie dense” if you’re aiming to lose weight. ⁣⁣👉Potato chips also tend to have high amounts of salt or bad fats (e.g. trans fats are correlated with heart disease and cancer).⁣⁣So here are some alternatives to add to your rotation to get your chip fix! ⁣⁣👉As you can see, selecting a chip goes beyond the calories!⁣⁣✅Look at not only the amount of bad fats and salt content per serving, but also the nutrients might come with it!⁣⁣Kale and seaweed chips are two of my favorite alternatives😍. How about you? ⁣⁣Is there another chip alternative not shown here?⁣.⁣.⁣.⁣#eqovivo #snackinghealthy #snacknation #easyrecipesathome #healthysnacking #healthysnackideas #healthychanges #saltysnacks #balancedlifestyle #nomnom #eatgoodfeelgood #healthysnacks #weightlosstips #cleaneats #healthyeating #allfoodsift #nondiet #dietsdontwork #intuitiveeating #foodfreedom #mindfuleating #nourishnotpunish #nomorediets #guiltfreefood #healthyeatinglifestyle #potatochips #kalechips #okra #seaweed #seaweedchips",2주,#snackinghealthy #snacknation #easyrecipesathome #healthysnacking #healthysnackideas #healthychanges #saltysnacks #balancedlifestyle #nomnom #eatgoodfeelgood #healthysnacks #weightlosstips #cleaneats #healthyeating #allfoodsift #nondiet #dietsdontwork #intuitiveeating #foodfreedom #mindfuleating #nourishnotpunish #nomorediets #guiltfreefood #healthyeatinglifestyle #potatochips #kalechips #okra #seaweed #seaweedchips,When it comes to chipsonce you popyou can t stop Which will you go forFolloweqovivo for healthy food tips inspo Always take a quick glance at the nutrition label for snacksThe traditional potato chip does have some nutrientssuch as Vitamin Cbut their downside is they recalorie denseif you re aiming to lose weight Potato chips also tend to have high amounts of salt or bad fatse gtrans fats are correlated with heart disease and cancerSo here are some alternatives to add to your rotation to get your chip fix As you can seeselecting a chip goes beyond the caloriesLook at not only the amount of bad fats and salt content per servingbut also the nutrients might come with it Kale and seaweed chips are two of my favorite alternatives How about youIs there another chip alternative not shown here eqovivosnackinghealthysnacknationeasyrecipesathomehealthysnackinghealthysnackideashealthychangessaltysnacksbalancedlifestylenomnomeatgoodfeelgoodhealthysnacksweightlosstipscleaneatshealthyeatingallfoodsiftnondietdietsdontworkintuitiveeatingfoodfreedommindfuleatingnourishnotpunishnomoredietsguiltfreefoodhealthyeatinglifestylepotatochipskalechipsokraseaweedseaweedchips,0
363,2020-07-27T07:12:41.000Z,infit_blog,Seaweed 😍😍😍,2주좋아요 1개답글 달기,,Seaweed, 1
364,2020-07-27T07:12:41.000Z,anrischroff,I want seaweed.. wanna try okura..maybe everything.. 😉👏🏻🌈😋,2주좋아요 1개답글 달기,,I want seaweed wanna try okuramaybe everything, 1
365,2020-07-27T07:12:41.000Z,healthzone2.0,I will go for beet chips !🙌,2주좋아요 1개답글 달기,,I will go for beet chips, 1
366,2020-07-27T07:12:41.000Z,foodandmuchmore,Haven’t tried the okra one 🔥,2주좋아요 1개답글 달기,,Haven t tried the okra one, 1
367,2020-07-27T07:12:41.000Z,bingeonabudget,Seaweed!!!,2주좋아요 1개답글 달기,,Seaweed, 1
368,2020-07-27T07:12:41.000Z,valshealthycorner,Fantastic!,2주좋아요 1개답글 달기,,Fantastic, 1
369,2020-07-27T07:12:41.000Z,bukovicsnebekefi,Beet🥰🥰😍But okra seems tasty too😋,2주좋아요 1개답글 달기,,Beet But okra seems tasty too, 1
370,2020-07-27T07:12:41.000Z,moretotoast,🔥🙌,2주좋아요 1개답글 달기,,, 1
371,2020-07-27T07:12:41.000Z,pharmacy.in.your.kitchen,Okra👏🏻👏🏻,2주좋아요 1개답글 달기,,Okra, 1
372,2020-07-27T07:12:41.000Z,findthegoodness,"Oh, I’m a sucker for a potato chip!! 😅😆",2주좋아요 1개답글 달기,,OhI m a sucker for a potato chip, 1
373,2020-07-27T07:12:41.000Z,fanilovesfood,"Beet or potato please, but only selfmade 😇",2주좋아요 1개답글 달기,,Beet or potato pleasebut only selfmade, 1
374,2020-07-27T07:12:41.000Z,seaweedsupermarket,Thank you for sharing 🌱great info 👏 @ohmygim,2주좋아요 2개답글 달기,,Thank you for sharinggreat infoohmygim, 2
375,2019-07-08T19:26:32.000Z,kaulana_lynn,Favourite snack! Last night in Thailand. Coffee and snacks overlooking our view of the highway and city lights. #seaweed #seaweedchips #seaweedsnacks #vegansnacks #thaisnacks #snacksofthailand #snacksofinstagram #thailand #thailandholiday #vacay #tourist,57주,#seaweed #seaweedchips #seaweedsnacks #vegansnacks #thaisnacks #snacksofthailand #snacksofinstagram #thailand #thailandholiday #vacay #tourist,Favourite snackLast night in ThailandCoffee and snacks overlooking our view of the highway and city lights seaweedseaweedchipsseaweedsnacksvegansnacksthaisnackssnacksofthailandsnacksofinstagramthailandthailandholidayvacaytourist,0
376,2019-07-08T19:26:32.000Z,ohmygim,Yay seaweed is the best 💙,57주답글 달기,,Yay seaweed is the best,0
377,2018-08-27T16:00:40.000Z,neicy_naturalsllc,Snack Time!. #seaweedchips Roasted Seaweed #snack #healthychoices,102주,#seaweedchips #snack #healthychoices,Snack Timeseaweedchips Roasted Seaweedsnackhealthychoices,0
