,date,user_id,text,like,tag,pp_text,like_point
725,2019-11-06T05:30:18.000Z,bosokbeauty,"김부각 Korean Traditional BugakSeaweed Laver, Pumpkin and Hot Pepper flavor Bugak is a deep-fried vegetables coated with glutinous rice paste. The ingredients being fried include laver, perilla leaves, chili pepper, and many other. It is eaten as a sidedish with rice.It does not include food additives and artificial flavors.I love trying new snack from Korea. That is the thing with me. I like everything about South Korea and exploring it more gives me that amazing feeling of knowing another country culture.  Whenever I travel I will go to Asian store and try new thing, just one or two but that is often enough to learn something. Korean snacks are amazing and often you can find something even healthy there. I tried that crispy snack (all three packages! in one sitting) on one evening and I love it. Enough crispy, rich in flavor but not overly salty or sweet. Just that burst of flavor enough to feel you when you are in need. My favorite is pumpkin, then seaweed and I did not enjoy to much of hot pepper as I can’t stand to much spiciness in my food.Overall, really good snack that I can recommend to try.I got it from 08l.com as part their Try Now Campaign offering products for low cost of 3.99$ in return for your honest opinion.#Koreanfood #vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L",40주,#vegetarian #koreansnack #bugak #HanBuGak #Pumkin #HotPepper #Laver #healthysnack #vegan #08liter #08L,Korean Traditional BugakSeaweed LaverPumpkin and Hot Pepper flavor Bugak is a deep fried vegetables coated with glutinous rice pasteThe ingredients being fried include laverperilla leaveschili pepperand many otherIt is eaten as a sidedish with rice It does not include food additives and artificial flavors I love trying new snack from KoreaThat is the thing with meI like everything about South Korea and exploring it more gives me that amazing feeling of knowing another country culture Whenever I travel I will go to Asian store and try new thingjust one or two but that is often enough to learn somethingKorean snacks are amazing and often you can find something even healthy thereI tried that crispy snackall three packagesin one sittingon one evening and I love itEnough crispyrich in flavor but not overly salty or sweetJust that burst of flavor enough to feel you when you are in needMy favorite is pumpkinthen seaweed and I did not enjoy to much of hot pepper as I can t stand to much spiciness in my food Overallreally good snack that I can recommend to try I got it from 08l com as part their Try Now Campaign offering products for low cost of 3 99in return for your honest opinionKoreanfoodvegetariankoreansnackbugakHanBuGakPumkinHotPepperLaverhealthysnackvegan08liter08L,0
726,2019-11-06T05:30:18.000Z,dewyandbeauty,Those snacks look so yummy!,39주좋아요 1개답글 달기,,Those snacks look so yummy, 1
727,2017-09-24T23:10:09.000Z,w.choi,김총각네 2017추석패키지.한복이라도 입어야 하나....1Year .우연한 인연으로 만난 김총각네 .형제들만의 힘으로 수년간 소중히 키워온 브랜드를함께 새롭게 해보자고 이야기 한지가 벌써 1년이네요...드디어 추석시즌 리뉴얼 완료~.#찢어지지않아요 #Bugak #crispy #chips #traditional #branding #local #부각 #김총각네 #남원 #전통식품 #지역농산물 #김부각 #브랜딩 #브랜드컨설팅 #insighttrip #filamentandcompany,150주,#Bugak #crispy #chips #traditional #branding #local #부각 #김총각네 #남원 #전통식품 #지역농산물 #김부각 #브랜딩 #브랜드컨설팅 #insighttrip #filamentandcompany,20171Year 1Bugakcrispychipstraditionalbrandinglocal insighttripfilamentandcompany,0
728,2017-09-24T23:10:09.000Z,bomarket,흰 부직포 가방 센스 👍🏻,150주좋아요 1개답글 달기,,, 1
729,2017-09-24T23:10:09.000Z,hyewon_aloof,가방이 탐나탐나,150주좋아요 1개답글 달기,,, 1
730,2017-09-24T23:10:09.000Z,ivylaaab,"먹다보면 자꾸 손이 가, 야금야금 간식의 대표격",150주좋아요 1개답글 달기,,, 1
731,2017-09-24T23:10:09.000Z,christine.p00,저요저!! 추석선물🙋,150주답글 달기,,,0
732,2017-09-24T23:10:09.000Z,bykmin,저 이번에 이거샀어용 ㅋㅋㅋ,149주답글 달기,,,0
733,2016-11-02T06:39:19.000Z,mjlee1014,심각하게 맛있음!!😍🤗😲 혜명대리님이 사죠서 일하다가 먹어봤는데 ㅎㅎ 짜고 달고한 부각아니고 완전 고소하고 크런치한 부각!  #이담부각 #leedam #bugak #김부각 맥주랑 먹으면 딱일듯! 💕 나도 사고싶어😘,197주,#이담부각 #leedam #bugak #김부각,leedambugak,0
734,2016-11-02T06:39:19.000Z,poiuhgtfd,집 갈 때 맥주 한 캔 사가야 겠구먼🍺🍻,197주답글 달기,,,0
